ISim log file
Running: C:\Users\sahil\Desktop\UCLAThings\2018-2019 Classes\Fall 2018\CS M152B\SJD\Lab0_2018\first_counter_tb_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb C:/Users/sahil/Desktop/UCLAThings/2018-2019 Classes/Fall 2018/CS M152B/SJD/Lab0_2018/first_counter_tb_isim_beh.wdb 
ISim P.20131013 (signature 0x7708f090)
----------------------------------------------------------------------
INFO:Security:51 - The XILINXD_LICENSE_FILE environment variable is not set.
INFO:Security:53 - The LM_LICENSE_FILE environment variable is not set.
INFO:Security:68a - user is sahil, on host SAHILLAPTOP.
WARNING:Security:43 - No license file was found in the standard Xilinx license directory.
WARNING:Security:44 - Since no license file was found,
       please run the Xilinx License Configuration Manager
       (xlcm or "Manage Xilinx Licenses")
       to assist in obtaining a license.
ERROR:Security:14 - No feature was available for 'ISIM'.

No such feature exists.
Feature:       ISIM
License path:  C:/.Xilinx;D:\Xilinx\14.7\ISE_DS\ISE\/data\*.lic;D:\Xilinx\14.7\ISE_DS\ISE\/coregen/core_licenses\Xilinx.lic;D:\Xilinx\14.7\ISE_DS\ISE\/coregen/core_licenses\XilinxFree.lic;
FLEXnet Licensing error:-5,357
For further information, refer to the FLEXnet Licensing documentation,
available at "www.flexerasoftware.com".
----------------------------------------------------------------------
WARNING: A full ISim License cannot be checked out due to the issues listed above. Please use Xilinx License Configuration Manager to fix these issues in order to check out a full ISim license.
WARNING: ISim will run in Lite mode. Please refer to the ISim documentation for more information on the differences between the Lite and the Full version.
This is a Lite version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
time	 clk reset enable counter
Finished circuit initialization process.
0	 1 0 0 xxxx
1210	 1 0 1 0100
1215	 0 0 1 0100
1220	 1 0 1 0100
1225	 0 0 1 0100
1230	 1 0 1 0100
1235	 0 0 1 0100
1240	 1 0 1 0100
1245	 0 0 1 0100
1250	 1 0 1 0100
1251	 1 0 1 0101
1255	 0 0 1 0101
1260	 1 0 1 0101
1265	 0 0 1 0101
1270	 1 0 1 0101
1275	 0 0 1 0101
1280	 1 0 1 0101
1285	 0 0 1 0101
1290	 1 0 1 0101
1295	 0 0 1 0101
1300	 1 0 1 0101
1305	 0 0 1 0101
1310	 1 0 1 0101
1311	 1 0 1 0110
1315	 0 0 1 0110
1320	 1 0 1 0110
1325	 0 0 1 0110
1330	 1 0 1 0110
1335	 0 0 1 0110
1340	 1 0 1 0110
1345	 0 0 1 0110
1350	 1 0 1 0110
1355	 0 0 1 0110
1360	 1 0 1 0110
1365	 0 0 1 0110
1370	 1 0 1 0110
1371	 1 0 1 0111
1375	 0 0 1 0111
1380	 1 0 1 0111
1385	 0 0 1 0111
1390	 1 0 1 0111
1395	 0 0 1 0111
1400	 1 0 1 0111
1405	 0 0 1 0111
1410	 1 0 1 0111
1415	 0 0 1 0111
1420	 1 0 1 0111
1425	 0 0 1 0111
1430	 1 0 1 0111
1431	 1 0 1 1000
1435	 0 0 1 1000
1440	 1 0 1 1000
1445	 0 0 1 1000
1450	 1 0 1 1000
1455	 0 0 1 1000
1460	 1 0 1 1000
1465	 0 0 1 1000
1470	 1 0 1 1000
1475	 0 0 1 1000
1480	 1 0 1 1000
1485	 0 0 1 1000
1490	 1 0 1 1000
1491	 1 0 1 1001
1495	 0 0 1 1001
1500	 1 0 1 1001
1505	 0 0 1 1001
1510	 1 0 1 1001
1515	 0 0 1 1001
1520	 1 0 1 1001
1525	 0 0 1 1001
1530	 1 0 1 1001
1535	 0 0 1 1001
1540	 1 0 1 1001
1545	 0 0 1 1001
1550	 1 0 1 1001
1551	 1 0 1 1010
1555	 0 0 1 1010
1560	 1 0 1 1010
1565	 0 0 1 1010
1570	 1 0 1 1010
1575	 0 0 1 1010
1580	 1 0 1 1010
1585	 0 0 1 1010
1590	 1 0 1 1010
1595	 0 0 1 1010
1600	 1 0 1 1010
1605	 0 0 1 1010
1610	 1 0 1 1010
1611	 1 0 1 1011
1615	 0 0 1 1011
1620	 1 0 1 1011
1625	 0 0 1 1011
1630	 1 0 1 1011
1635	 0 0 1 1011
1640	 1 0 1 1011
1645	 0 0 1 1011
1650	 1 0 1 1011
1655	 0 0 1 1011
1660	 1 0 1 1011
1665	 0 0 1 1011
1670	 1 0 1 1011
1671	 1 0 1 1100
1675	 0 0 1 1100
1680	 1 0 1 1100
1685	 0 0 1 1100
1690	 1 0 1 1100
1695	 0 0 1 1100
1700	 1 0 1 1100
1705	 0 0 1 1100
1710	 1 0 1 1100
1715	 0 0 1 1100
1720	 1 0 1 1100
1725	 0 0 1 1100
1730	 1 0 1 1100
1731	 1 0 1 1101
1735	 0 0 1 1101
1740	 1 0 1 1101
1745	 0 0 1 1101
1750	 1 0 1 1101
1755	 0 0 1 1101
1760	 1 0 1 1101
1765	 0 0 1 1101
1770	 1 0 1 1101
1775	 0 0 1 1101
1780	 1 0 1 1101
1785	 0 0 1 1101
1790	 1 0 1 1101
1791	 1 0 1 1110
1795	 0 0 1 1110
1800	 1 0 1 1110
1805	 0 0 1 1110
1810	 1 0 1 1110
1815	 0 0 1 1110
1820	 1 0 1 1110
1825	 0 0 1 1110
1830	 1 0 1 1110
1835	 0 0 1 1110
1840	 1 0 1 1110
1845	 0 0 1 1110
1850	 1 0 1 1110
1851	 1 0 1 1111
